|   Sno. | Title                                        | Type   | Genre                       | Country of Origin                | Released in   | Language                                                              | Remarks/Opinions                                                                                                                                                                                                                                                                                                                                                                                                            | Personal Rating   |
|     82 | The Menu                                     | Movie  | Dark comedy/Horror          | United States                    | 2022          | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | 8.0               |
|     83 | The Terminal List                            | Series | Unknown                     | Unknown                          | nan           | Unknown                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     84 | The Theory of Everything                     | nan    | nan                         | nan                              | nan           | nan                                                                   | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     85 | The tomorrow war                             | Movie  | Sci-Fi                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     86 | Tomb Raider                                  | Movie  | Action/Adventure            | United States                    | 2018          | English                                                               | Good one time watch adventure movie.                                                                                                                                                                                                                                                                                                                                                                                        | 7.0               |
|     87 | Top Gun                                      | Movie  | Action                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     88 | Top Gun : Maverick                           | Movie  | Action                      | United States                    | nan           | English                                                               | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     89 | Yeh Jawaani Hai Deewani                      | Movie  | Romance/Drama/Comedy        | India                            | 2013          | Hindi                                                                 | Loved it. Good example of how a bollywood movie can be made with less bs and yet be entertaining.                                                                                                                                                                                                                                                                                                                           | 8.5               |
|     90 | Your name                                    | Movie  | Anime                       | Japan                            | nan           | English (dubbed)                                                      | nan                                                                                                                                                                                                                                                                                                                                                                                                                         | nan               |
|     91 | scorpion                                     | Series | Drama                       | United States                    | 2014-18       | English                                                               | I personally liked it initially being a nerd myself; they really tried to portray a nerd's mind, life and difficulties he faces pretty accurately through Walter O'Brien. But there are so many flaws and scientific inaccuracies throughout the series which I really can not ignore, again being a nerd myself. Plus (spoiler) they discontinued the series and the last season (and thus the plot) ends in a stupid way. | 6.5               |
